title,artist,album_art_url
Shape Of You,Ed Sheeran,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e02ba5db46f4b838ef6027e6f96
Perfect,Ed Sheeran,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e02ba5db46f4b838ef6027e6f96
Billie Jean,Michael Jackson,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e0232a7d87248d1b75463483df5
Bohemian Rhapsody,Queen,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02e319baafd16e84f0408af2a0
Save Your Tears,The Weeknd,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e028863bc11d2aa12b54f5aeb36
Closer,The Chainsmokers Featuring Halsey,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02495ce6da9aeb159e94eaa453
Counting Stars,OneRepublic,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e029e2f95ae77cf436017ada9cb
Thinking Out Loud,Ed Sheeran,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e02407981084d79d283e24d428e
Uptown Funk!,Mark Ronson Featuring Bruno Mars,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e029860171ddfee17f77a570cf6
Flowers,Miley Cyrus,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e0266fd0917f38d472c8576754e
Poker Face,Lady Gaga,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02e691217483df8798445c82e2
In Da Club,50 Cent,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02f7f74100d5cc850e01172cbf
All Of Me,John Legend,https://image-cdn-ak.spotifycdn.com/image/ab67616d00001e02bdcc3b587b5249932bc415c2
See You Again,Wiz Khalifa Featuring Charlie Puth,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e024e5df11b17b2727da2b718d8
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02ea0eb66d4b8fef4a84c599fe
Stay,The Kid Laroi & Justin Bieber,https://image-cdn-fa.spotifycdn.com/image/ab67616d00001e02b4d59e6fa7e5e7cbc57ac33a
