title,artist,spotify_url,duration_ms,release_year
Shape Of You,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,233712,2017.0
Perfect,Ed Sheeran,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,263400,2017.0
Billie Jean,Michael Jackson,https://open.spotify.com/track/7J1uxwnxfQLu4APicE5Rnj,293802,1982.0
Bohemian Rhapsody,Queen,https://open.spotify.com/track/1AhDOtG9vPSOmsWgNW0BEY,354320,1975.0
Save Your Tears,The Weeknd,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g,215626,2020.0
Closer,The Chainsmokers Featuring Halsey,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,244960,2016.0
Counting Stars,OneRepublic,https://open.spotify.com/track/519uJbE3zyKLlToVA65PrP,257266,2013.0
Thinking Out Loud,Ed Sheeran,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f,281560,2014.0
Uptown Funk!,Mark Ronson Featuring Bruno Mars,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS,269658,2015.0
Flowers,Miley Cyrus,https://open.spotify.com/track/0yLdNVWF3Srea0uzk55zFn,200454,2023.0
Poker Face,Lady Gaga,https://open.spotify.com/track/7zACUQbWQxzT4aER7ityBV,237200,2009.0
In Da Club,50 Cent,https://open.spotify.com/track/7iL6o9tox1zgHpKUfh9vuC,193466,2003.0
All Of Me,John Legend,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a,269556,2013.0
See You Again,Wiz Khalifa Featuring Charlie Puth,https://open.spotify.com/track/66CFbqJScx6zRieGllITcs,229525,2016.0
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,https://open.spotify.com/track/7dbka99KTWke5o9hRp0JoB,158040,2019.0
Stay,The Kid Laroi & Justin Bieber,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,141805,2021.0
Sorry,Justin Bieber,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ,200786,2015.0
APT.,ROSE & Bruno Mars,https://open.spotify.com/track/5vNRhkKd0yEAg8suGBpjeY,169917,2024.0
Just The Way You Are,Bruno Mars,https://open.spotify.com/track/47Slg6LuqLaX0VodpSCvPt,220734,2010.0
Bad Romance,Lady Gaga,https://open.spotify.com/track/0SiywuOBRcynK0uKGWdCnn,294573,2009.0
Believer,Imagine Dragons,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6,204346,2017.0
Somebody That I Used To Know,Gotye Featuring Kimbra,https://open.spotify.com/track/6md4w95cnKaW64JyEQ3A0L,244893,2011.0
Beautiful Things,Benson Boone,https://open.spotify.com/track/3xkHsmpQCBMytMJNiDf3Ii,180304,2024.0
As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e,167303,2022.0
Levitating,Dua Lipa,https://open.spotify.com/track/49gruEYzuJZoy4R2q5xVlT,203064,2020.0
Starboy,The Weeknd Featuring Daft Punk,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,230453,2016.0
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,228826,2017.0
Stressed Out,Twenty One Pilots,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn,202333,2015.0
Umbrella,Rihanna Featuring Jay-Z,https://open.spotify.com/track/49FYlytm3dAAraYgpoJZux,275986,2008.0
Something Just Like This,The Chainsmokers & Coldplay,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,247160,2017.0
Yeah!,Usher Featuring Lil Jon & Ludacris,https://open.spotify.com/track/5rb9QrpfcKFHM1EUbSIurX,250373,2004.0
Wake Me Up!,Avicii,https://open.spotify.com/track/6g1NlCpW7fgqDnWbCCDrHl,247426,2013.0
"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.,https://open.spotify.com/track/6VQyQHqEiDLG5cAPjoBPL9,241933,1995.0
